GEOID,INDUSTRY_CODE,SOURCE_NAICS,ESTABLISHMENTS,EMPLOYMENT,EMPLOYMENT_NOISE_FLAG,FIRST_QUARTER_PAYROLL_THOUSANDS,FIRST_QUARTER_PAYROLL_NOISE_FLAG,ANNUAL_PAYROLL_THOUSANDS,ANNUAL_PAYROLL_NOISE_FLAG
01001,TOTAL,------,968,12749,G,125014,G,527009,G
01001,11,11----,10,50,H,667,G,2945,G
01001,21,21----,4,26,J,385,J,1108,J
01001,22,22----,5,139,G,3791,G,14898,G
01001,23,23----,100,563,G,6656,G,27960,G
01001,31,31----,28,1484,G,27587,H,121140,H
01001,42,42----,29,329,J,5571,H,22767,H
01001,44,44----,189,2911,G,22207,G,90608,G
01001,48,48----,17,179,H,2562,H,10259,H
01001,51,51----,15,107,H,989,G,3854,G
01001,52,52----,76,374,G,6136,G,25023,G
01001,53,53----,41,187,H,2542,H,11662,H
01001,54,54----,60,505,G,5575,G,24545,G
01001,56,56----,41,483,H,3840,G,15902,G
01001,61,61----,10,92,J,791,J,3162,J
01001,62,62----,104,1718,G,17635,G,74730,G
01001,71,71----,17,428,H,1363,G,5780,G
01001,72,72----,109,2406,G,11701,G,49248,G
01001,81,81----,112,765,G,4979,G,21236,G
01003,TOTAL,------,6409,72022,G,775329,G,3254546,G
01003,11,11----,14,20,J,289,H,1401,H
01003,21,21----,7,38,J,437,J,2105,J
01003,22,22----,11,302,J,5876,J,25897,J
01003,23,23----,776,5454,G,79588,G,339998,G
01003,31,31----,183,3883,G,58913,G,244264,G
01003,42,42----,248,2926,G,52781,G,203117,G
01003,44,44----,1062,14900,G,130295,G,523315,G
01003,48,48----,165,1576,G,22422,G,91769,G
01003,51,51----,93,594,G,8175,G,32495,G
01003,52,52----,365,1866,G,40520,G,147074,G
01003,53,53----,507,2643,G,28741,G,129841,G
01003,54,54----,573,2615,G,38784,G,165771,G
01003,55,55----,21,879,H,22946,H,109891,J
01003,56,56----,360,4178,G,34773,G,151407,G
01003,61,61----,61,1677,H,16221,H,65857,H
01003,62,62----,585,9299,G,111717,G,483631,G
01003,71,71----,114,1932,G,9987,G,49569,G
01003,72,72----,669,13632,G,82477,G,361184,G
01003,81,81----,590,3604,G,30356,G,125760,G
01003,99,99----,5,4,G,31,G,200,G
01005,TOTAL,------,412,6301,G,67704,G,258495,G
01005,11,11----,10,96,H,1253,H,4818,H
01005,21,21----,3,75,J,1151,J,4537,J
01005,22,22----,4,106,J,4513,J,12180,J
01005,23,23----,24,107,H,1009,G,4162,G
01005,31,31----,19,2080,H,24536,G,97391,G
01005,42,42----,8,42,J,367,G,1398,G
01005,44,44----,76,761,H,6005,H,22281,H
01005,48,48----,25,792,G,12871,H,49200,H
01005,51,51----,7,31,J,373,J,1404,J
01005,52,52----,39,116,J,1451,H,5916,H
01005,53,53----,15,33,J,273,G,980,G
01005,54,54----,23,69,G,692,G,3308,G
01005,56,56----,11,340,G,1995,G,6152,H
01005,61,61----,4,70,H,385,J,1698,J
01005,62,62----,36,642,G,6061,G,23750,G
01005,71,71----,8,44,H,242,G,1008,G
01005,72,72----,52,703,G,3150,G,12553,G
01005,81,81----,44,185,H,1302,G,5438,G
01005,99,99----,3,3,G,15,J,58,J
01007,TOTAL,------,313,4159,H,53063,H,213625,H
01007,11,11----,9,35,J,418,H,1856,H
01007,22,22----,3,25,H,525,J,1636,J
01007,23,23----,34,838,H,18503,J,72957,H
01007,31,31----,17,690,H,9004,H,35646,H
01007,42,42----,15,157,H,1799,H,7603,H
01007,44,44----,56,614,H,5211,H,19569,G
01007,48,48----,13,226,H,2416,H,10167,H
01007,51,51----,8,26,J,327,J,1184,J
01007,52,52----,18,61,J,693,H,2847,H
01007,53,53----,10,15,J,160,J,672,J
01007,54,54----,21,77,G,839,G,4156,G
01007,56,56----,14,115,H,1216,H,4997,H
01007,61,61----,4,45,J,215,J,566,J
01007,62,62----,25,788,J,8786,J,37308,J
01007,71,71----,5,18,G,57,J,273,J
01007,72,72----,17,245,G,966,G,4205,G
01007,81,81----,40,146,G,1278,G,5239,G
01009,TOTAL,------,777,7402,G,79656,G,327161,G
01009,11,11----,5,15,G,90,H,371,H
01009,21,21----,6,142,J,2329,J,9758,J
01009,23,23----,139,633,G,7649,G,35596,G
01009,31,31----,44,946,H,10399,H,43349,H
01009,42,42----,36,451,H,8620,H,28036,H
01009,44,44----,133,1393,G,13022,G,51041,G
01009,48,48----,36,287,G,4903,H,21069,H
01009,51,51----,10,359,J,5072,J,21292,J
01009,52,52----,44,203,J,3002,H,12670,H
01009,53,53----,13,23,J,171,H,1597,J
01009,54,54----,45,205,G,3048,G,12789,G
01009,56,56----,31,252,H,3010,G,11912,G
01009,61,61----,3,13,J,20,H,134,H
01009,62,62----,71,951,H,9783,H,41164,H
01009,71,71----,8,97,J,354,J,2083,J
01009,72,72----,63,863,H,3493,H,14820,H
01009,81,81----,89,562,G,4214,H,17572,H
01011,TOTAL,------,109,1629,J,14508,J,65366,J
01011,11,11----,9,47,H,677,G,2569,G
01011,23,23----,7,40,J,460,J,2166,J
01011,31,31----,6,695,J,6138,J,28602,J
01011,42,42----,3,16,J,225,J,982,J
01011,44,44----,29,219,G,1427,G,5939,G
01011,48,48----,3,9,J,118,J,485,J
01011,51,51----,3,21,G,196,J,947,J
01011,52,52----,5,37,J,523,J,1731,J
01011,53,53----,3,3,G,20,J,74,J
01011,54,54----,4,30,J,414,J,1849,H
01011,62,62----,11,334,H,2918,J,14265,J
01011,71,71----,3,18,J,89,H,281,G
01011,72,72----,7,74,H,243,H,1066,H
01011,81,81----,12,29,G,150,J,641,H
01013,TOTAL,------,432,5646,G,61361,G,249393,G
01013,11,11----,20,115,G,1596,G,6627,G
01013,23,23----,36,341,G,5533,G,23354,G
01013,31,31----,19,1356,H,21543,H,85394,H
01013,42,42----,14,59,G,807,H,4645,H
01013,44,44----,93,958,H,8641,H,31588,H
01013,48,48----,18,255,G,3301,H,14148,H
01013,51,51----,14,117,H,988,G,3979,G
01013,52,52----,34,124,G,1538,G,6329,G
01013,53,53----,18,31,H,220,H,860,G
01013,54,54----,18,47,H,602,H,2634,G
01013,56,56----,20,376,H,2567,H,10729,H
01013,62,62----,45,847,H,8668,G,36199,G
01013,71,71----,4,99,J,345,J,1409,J
01013,72,72----,42,703,G,2942,G,12898,G
